n,edge_size,average_degree,method,lambda,instances,runs_per_instance,optimality_rate,optimality_rate_std,feasibility_rate,feasibility_rate_std,approximation_ratio,approximation_ratio_std,avg_runtime_s,notes
14,3,5,qaoa,0.3,100,5,0.375685,0.334940,0.432000,0.331264,1.218141,0.187312,2.926273,QAOA COBYLA default; std columns computed across five run-level rates
14,3,5,annealer,0.3,100,5,1.000000,0.000000,0.120000,0.000000,1.000000,0.000000,8.958827,Simulated annealing; std columns computed across five run-level rates
14,3,5,qaoa,1,100,5,0.183161,0.134595,0.962000,0.053066,1.266304,0.160749,2.806395,QAOA COBYLA default; std columns computed across five run-level rates
14,3,5,annealer,1,100,5,1.000000,0.000000,0.618000,0.024819,1.000000,0.000000,8.940889,Simulated annealing; std columns computed across five run-level rates
14,3,5,qaoa,3,100,5,0.035448,0.035266,0.962000,0.025612,1.422987,0.115765,2.871221,QAOA COBYLA default; std columns computed across five run-level rates
14,3,5,annealer,3,100,5,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.905967,Simulated annealing; std columns computed across five run-level rates
15,3,5,qaoa,0.3,100,5,0.366608,0.267779,0.566000,0.390722,1.269927,0.213696,2.186546,QAOA COBYLA default; std columns computed across five run-level rates
15,3,5,annealer,0.3,100,5,1.000000,0.000000,0.110000,0.000000,1.000000,0.000000,10.226014,Simulated annealing; std columns computed across five run-level rates
15,3,5,qaoa,1,100,5,0.102000,0.092607,0.998000,0.004000,1.268144,0.112219,2.073277,QAOA COBYLA default; std columns computed across five run-level rates
15,3,5,annealer,1,100,5,1.000000,0.000000,0.930000,0.014142,1.000000,0.000000,10.179581,Simulated annealing; std columns computed across five run-level rates
15,3,5,qaoa,3,100,5,0.010000,0.006325,0.996000,0.008000,1.393569,0.025357,2.122957,QAOA COBYLA default; std columns computed across five run-level rates
15,3,5,annealer,3,100,5,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,10.139948,Simulated annealing; std columns computed across five run-level rates
